target_id,sales_rep_id,year,quarter,month,quota_amount,actual_amount,achievement_percent,deals_closed,avg_deal_size,new_customers,territory,sales_team
TGT-2023-Q1-REP-0063-01,REP-0063,2023,Q1,January,47333.33,31910.14,67.42,36,886.39,13,LATAM,SMB Sales
TGT-2023-Q1-REP-0064-01,REP-0064,2023,Q1,January,105083.33,76210.84,72.52,15,5080.72,7,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0065-01,REP-0065,2023,Q1,January,98500.00,99523.36,101.04,19,5238.07,10,East,Enterprise Sales
TGT-2023-Q1-REP-0066-01,REP-0066,2023,Q1,January,35750.00,48825.26,136.57,39,1251.93,18,LATAM,Inside Sales
TGT-2023-Q1-REP-0067-01,REP-0067,2023,Q1,January,47416.67,56684.68,119.55,41,1382.55,14,LATAM,SMB Sales
TGT-2023-Q1-REP-0068-01,REP-0068,2023,Q1,January,78583.33,76966.46,97.94,29,2654.02,11,APAC,Mid-Market
TGT-2023-Q1-REP-0070-01,REP-0070,2023,Q1,January,44666.67,49844.92,111.59,44,1132.84,17,Central,SMB Sales
TGT-2023-Q1-REP-0071-01,REP-0071,2023,Q1,January,132500.00,176076.77,132.89,15,11738.45,7,APAC,Partner Sales
TGT-2023-Q1-REP-0073-01,REP-0073,2023,Q1,January,107333.33,85294.18,79.47,16,5330.89,7,West,Partner Sales
TGT-2023-Q1-REP-0074-01,REP-0074,2023,Q1,January,86083.33,60627.57,70.43,8,7578.45,4,East,Enterprise Sales
TGT-2023-Q1-REP-0075-01,REP-0075,2023,Q1,January,75250.00,46395.64,61.66,25,1855.83,8,APAC,Mid-Market
TGT-2023-Q1-REP-0077-01,REP-0077,2023,Q1,January,43500.00,46308.49,106.46,31,1493.82,10,APAC,Inside Sales
TGT-2023-Q1-REP-0078-01,REP-0078,2023,Q1,January,96916.67,98421.20,101.55,8,12302.65,2,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0079-01,REP-0079,2023,Q1,January,37750.00,34110.42,90.36,49,696.13,25,EMEA,Inside Sales
TGT-2023-Q1-REP-0080-01,REP-0080,2023,Q1,January,114666.67,95902.53,83.64,11,8718.41,3,Central,Partner Sales
TGT-2023-Q1-REP-0081-01,REP-0081,2023,Q1,January,104750.00,71496.77,68.25,12,5958.06,6,EMEA,Partner Sales
TGT-2023-Q1-REP-0084-01,REP-0084,2023,Q1,January,90916.67,118106.62,129.91,14,8436.19,7,East,Enterprise Sales
TGT-2023-Q1-REP-0085-01,REP-0085,2023,Q1,January,52666.67,39525.88,75.05,40,988.15,20,West,SMB Sales
TGT-2023-Q1-REP-0086-01,REP-0086,2023,Q1,January,42083.33,37351.44,88.76,22,1697.79,7,East,SMB Sales
TGT-2023-Q1-REP-0087-01,REP-0087,2023,Q1,January,114750.00,98125.24,85.51,21,4672.63,11,Central,Partner Sales
TGT-2023-Q1-REP-0088-01,REP-0088,2023,Q1,January,44583.33,48588.56,108.98,38,1278.65,22,Central,SMB Sales
TGT-2023-Q1-REP-0089-01,REP-0089,2023,Q1,January,34000.00,29326.30,86.25,49,598.50,27,Central,Inside Sales
TGT-2023-Q1-REP-0090-01,REP-0090,2023,Q1,January,112750.00,90473.60,80.24,20,4523.68,6,East,Partner Sales
TGT-2023-Q1-REP-0091-01,REP-0091,2023,Q1,January,41666.67,32259.08,77.42,32,1008.10,17,APAC,SMB Sales
TGT-2023-Q1-REP-0092-01,REP-0092,2023,Q1,January,88000.00,82544.47,93.80,9,9171.61,4,APAC,Enterprise Sales
TGT-2023-Q1-REP-0093-01,REP-0093,2023,Q1,January,98833.33,133037.91,134.61,18,7390.99,7,Central,Enterprise Sales
TGT-2023-Q1-REP-0094-01,REP-0094,2023,Q1,January,129666.67,177340.49,136.77,23,7710.46,11,LATAM,Partner Sales
TGT-2023-Q1-REP-0095-01,REP-0095,2023,Q1,January,66916.67,45370.36,67.80,29,1564.50,13,EMEA,Mid-Market
TGT-2023-Q1-REP-0096-01,REP-0096,2023,Q1,January,73583.33,59736.01,81.18,18,3318.67,8,East,Mid-Market
TGT-2023-Q1-REP-0098-01,REP-0098,2023,Q1,January,105750.00,129622.27,122.57,13,9970.94,5,Central,Partner Sales
TGT-2023-Q1-REP-0099-01,REP-0099,2023,Q1,January,34500.00,25192.32,73.02,37,680.87,14,Central,Inside Sales
TGT-2023-Q1-REP-0100-01,REP-0100,2023,Q1,January,69583.33,92487.18,132.92,20,4624.36,8,APAC,Mid-Market
TGT-2023-Q1-REP-0101-01,REP-0101,2023,Q1,January,73166.67,76676.85,104.80,16,4792.30,6,EMEA,Mid-Market
TGT-2023-Q1-REP-0102-01,REP-0102,2023,Q1,January,36916.67,37752.76,102.26,29,1301.82,15,EMEA,Inside Sales
TGT-2023-Q1-REP-0103-01,REP-0103,2023,Q1,January,68083.33,55280.70,81.20,20,2764.03,7,West,Mid-Market
TGT-2023-Q1-REP-0104-01,REP-0104,2023,Q1,January,95750.00,122739.19,128.19,16,7671.20,5,East,Enterprise Sales
TGT-2023-Q1-REP-0105-01,REP-0105,2023,Q1,January,100916.67,122754.44,121.64,11,11159.49,5,APAC,Enterprise Sales
TGT-2023-Q1-REP-0106-01,REP-0106,2023,Q1,January,109666.67,124933.02,113.92,24,5205.54,13,EMEA,Partner Sales
TGT-2023-Q1-REP-0107-01,REP-0107,2023,Q1,January,107333.33,83956.20,78.22,16,5247.26,8,East,Partner Sales
TGT-2023-Q1-REP-0108-01,REP-0108,2023,Q1,January,102000.00,64925.12,63.65,20,3246.26,6,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0109-01,REP-0109,2023,Q1,January,46166.67,50090.06,108.50,25,2003.60,10,East,SMB Sales
TGT-2023-Q1-REP-0110-01,REP-0110,2023,Q1,January,88583.33,87167.03,98.40,17,5127.47,8,EMEA,Enterprise Sales
TGT-2023-Q1-REP-0111-01,REP-0111,2023,Q1,January,120833.33,161700.06,133.82,19,8510.53,6,East,Partner Sales
TGT-2023-Q1-REP-0112-01,REP-0112,2023,Q1,January,39250.00,48945.15,124.70,30,1631.50,13,APAC,Inside Sales
TGT-2023-Q1-REP-0114-01,REP-0114,2023,Q1,January,105500.00,55527.43,52.63,18,3084.86,10,West,Enterprise Sales
TGT-2023-Q1-REP-0115-01,REP-0115,2023,Q1,January,125833.33,121334.26,96.42,23,5275.40,11,West,Partner Sales
TGT-2023-Q1-REP-0116-01,REP-0116,2023,Q1,January,46916.67,33230.25,70.83,35,949.44,16,LATAM,SMB Sales
TGT-2023-Q1-REP-0117-01,REP-0117,2023,Q1,January,115666.67,72533.61,62.71,23,3153.64,8,West,Partner Sales
TGT-2023-Q1-REP-0118-01,REP-0118,2023,Q1,January,118416.67,154122.64,130.15,15,10274.84,8,West,Partner Sales
TGT-2023-Q1-REP-0121-01,REP-0121,2023,Q1,January,104750.00,98969.34,94.48,23,4303.01,7,West,Partner Sales
TGT-2023-Q1-REP-0122-01,REP-0122,2023,Q1,January,74916.67,47136.50,62.92,21,2244.60,8,APAC,Mid-Market
TGT-2023-Q1-REP-0123-01,REP-0123,2023,Q1,January,129166.67,68258.59,52.85,12,5688.22,4,APAC,Partner Sales
TGT-2023-Q1-REP-0124-01,REP-0124,2023,Q1,January,53833.33,40044.70,74.39,24,1668.53,7,LATAM,SMB Sales
TGT-2023-Q1-REP-0125-01,REP-0125,2023,Q1,January,118666.67,162319.60,136.79,25,6492.78,12,Central,Partner Sales
TGT-2023-Q1-REP-0129-01,REP-0129,2023,Q1,January,74416.67,64053.67,86.07,29,2208.75,13,East,Mid-Market
TGT-2023-Q1-REP-0130-01,REP-0130,2023,Q1,January,37416.67,36715.76,98.13,27,1359.84,9,West,Inside Sales
TGT-2023-Q1-REP-0131-01,REP-0131,2023,Q1,January,46666.67,38960.82,83.49,45,865.80,21,East,SMB Sales
TGT-2023-Q1-REP-0133-01,REP-0133,2023,Q1,January,99416.67,68291.87,68.69,20,3414.59,9,West,Enterprise Sales
TGT-2023-Q1-REP-0134-01,REP-0134,2023,Q1,January,71000.00,68617.93,96.64,25,2744.72,11,East,Mid-Market
TGT-2023-Q1-REP-0135-01,REP-0135,2023,Q1,January,39166.67,42860.32,109.43,36,1190.56,13,APAC,Inside Sales
TGT-2023-Q1-REP-0137-01,REP-0137,2023,Q1,January,47083.33,33805.08,71.80,43,786.16,22,East,SMB Sales
TGT-2023-Q1-REP-0138-01,REP-0138,2023,Q1,January,44833.33,60976.09,136.01,40,1524.40,15,LATAM,Inside Sales
TGT-2023-Q1-REP-0139-01,REP-0139,2023,Q1,January,114750.00,156910.57,136.74,10,15691.06,3,LATAM,Partner Sales
TGT-2023-Q1-REP-0141-01,REP-0141,2023,Q1,January,102333.33,79521.49,77.71,9,8835.72,4,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0142-01,REP-0142,2023,Q1,January,77750.00,70766.25,91.02,21,3369.82,11,EMEA,Mid-Market
TGT-2023-Q1-REP-0143-01,REP-0143,2023,Q1,January,83416.67,77052.63,92.37,12,6421.05,7,East,Enterprise Sales
TGT-2023-Q1-REP-0145-01,REP-0145,2023,Q1,January,41916.67,45232.94,107.91,29,1559.76,13,LATAM,Inside Sales
TGT-2023-Q1-REP-0146-01,REP-0146,2023,Q1,January,129583.33,175546.15,135.47,10,17554.62,4,LATAM,Partner Sales
TGT-2023-Q1-REP-0147-01,REP-0147,2023,Q1,January,75750.00,54286.71,71.67,29,1871.96,12,West,Mid-Market
TGT-2023-Q1-REP-0148-01,REP-0148,2023,Q1,January,42916.67,33224.94,77.42,25,1329.00,12,EMEA,SMB Sales
TGT-2023-Q1-REP-0149-01,REP-0149,2023,Q1,January,94000.00,91070.01,96.88,20,4553.50,10,APAC,Enterprise Sales
TGT-2023-Q1-REP-0150-01,REP-0150,2023,Q1,January,43500.00,31610.53,72.67,32,987.83,14,East,SMB Sales
TGT-2023-Q1-REP-0001-02,REP-0001,2023,Q1,February,107833.33,146294.52,135.67,20,7314.73,8,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0002-02,REP-0002,2023,Q1,February,41416.67,47649.62,115.05,44,1082.95,17,East,Inside Sales
TGT-2023-Q1-REP-0003-02,REP-0003,2023,Q1,February,43000.00,52032.21,121.01,21,2477.72,7,Central,SMB Sales
TGT-2023-Q1-REP-0004-02,REP-0004,2023,Q1,February,87416.67,74149.72,84.82,9,8238.86,3,East,Enterprise Sales
TGT-2023-Q1-REP-0005-02,REP-0005,2023,Q1,February,68833.33,90366.62,131.28,19,4756.14,7,APAC,Mid-Market
TGT-2023-Q1-REP-0006-02,REP-0006,2023,Q1,February,49000.00,56556.81,115.42,35,1615.91,18,LATAM,SMB Sales
TGT-2023-Q1-REP-0009-02,REP-0009,2023,Q1,February,38666.67,18321.44,47.38,31,591.01,11,LATAM,Inside Sales
TGT-2023-Q1-REP-0010-02,REP-0010,2023,Q1,February,71500.00,47255.39,66.09,28,1687.69,16,EMEA,Mid-Market
TGT-2023-Q1-REP-0011-02,REP-0011,2023,Q1,February,107000.00,142012.55,132.72,17,8353.68,6,EMEA,Enterprise Sales
TGT-2023-Q1-REP-0012-02,REP-0012,2023,Q1,February,69666.67,85962.26,123.39,17,5056.60,9,EMEA,Mid-Market
TGT-2023-Q1-REP-0013-02,REP-0013,2023,Q1,February,99916.67,75591.41,75.65,9,8399.05,4,Central,Enterprise Sales
TGT-2023-Q1-REP-0014-02,REP-0014,2023,Q1,February,122750.00,109064.34,88.85,25,4362.57,11,East,Partner Sales
TGT-2023-Q1-REP-0015-02,REP-0015,2023,Q1,February,77916.67,71795.30,92.14,24,2991.47,9,APAC,Mid-Market
TGT-2023-Q1-REP-0016-02,REP-0016,2023,Q1,February,76916.67,70280.90,91.37,23,3055.69,8,West,Mid-Market
TGT-2023-Q1-REP-0017-02,REP-0017,2023,Q1,February,41000.00,54895.58,133.89,33,1663.50,17,East,Inside Sales
TGT-2023-Q1-REP-0018-02,REP-0018,2023,Q1,February,85500.00,97759.95,114.34,16,6110.00,6,EMEA,Enterprise Sales
TGT-2023-Q1-REP-0019-02,REP-0019,2023,Q1,February,46083.33,39807.51,86.38,20,1990.38,9,Central,SMB Sales
TGT-2023-Q1-REP-0020-02,REP-0020,2023,Q1,February,102083.33,141291.84,138.41,10,14129.18,5,Central,Partner Sales
TGT-2023-Q1-REP-0022-02,REP-0022,2023,Q1,February,48416.67,59961.61,123.84,40,1499.04,16,APAC,SMB Sales
TGT-2023-Q1-REP-0023-02,REP-0023,2023,Q1,February,42583.33,50470.35,118.52,32,1577.20,9,East,Inside Sales
TGT-2023-Q1-REP-0024-02,REP-0024,2023,Q1,February,45333.33,43422.29,95.78,28,1550.80,10,Central,Inside Sales
TGT-2023-Q1-REP-0026-02,REP-0026,2023,Q1,February,44833.33,51032.37,113.83,50,1020.65,28,LATAM,Inside Sales
TGT-2023-Q1-REP-0027-02,REP-0027,2023,Q1,February,44833.33,31894.28,71.14,43,741.73,13,EMEA,Inside Sales
TGT-2023-Q1-REP-0029-02,REP-0029,2023,Q1,February,107333.33,110773.31,103.20,11,10070.30,3,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0030-02,REP-0030,2023,Q1,February,42250.00,47004.25,111.25,34,1382.48,13,West,SMB Sales
TGT-2023-Q1-REP-0031-02,REP-0031,2023,Q1,February,46833.33,35756.93,76.35,42,851.36,17,Central,SMB Sales
TGT-2023-Q1-REP-0032-02,REP-0032,2023,Q1,February,102583.33,80019.50,78.00,15,5334.63,7,Central,Enterprise Sales
TGT-2023-Q1-REP-0034-02,REP-0034,2023,Q1,February,34750.00,42543.67,122.43,30,1418.12,9,East,Inside Sales
TGT-2023-Q1-REP-0035-02,REP-0035,2023,Q1,February,105500.00,47870.50,45.37,18,2659.47,9,East,Enterprise Sales
TGT-2023-Q1-REP-0036-02,REP-0036,2023,Q1,February,33583.33,27367.38,81.49,26,1052.59,15,West,Inside Sales
TGT-2023-Q1-REP-0037-02,REP-0037,2023,Q1,February,53333.33,46200.07,86.63,25,1848.00,8,EMEA,SMB Sales
TGT-2023-Q1-REP-0038-02,REP-0038,2023,Q1,February,120750.00,137372.19,113.77,17,8080.72,7,LATAM,Partner Sales
TGT-2023-Q1-REP-0039-02,REP-0039,2023,Q1,February,34916.67,24303.96,69.61,33,736.48,13,Central,Inside Sales
TGT-2023-Q1-REP-0040-02,REP-0040,2023,Q1,February,91083.33,119324.51,131.01,17,7019.09,6,East,Enterprise Sales
TGT-2023-Q1-REP-0041-02,REP-0041,2023,Q1,February,72250.00,81193.98,112.38,29,2799.79,16,APAC,Mid-Market
TGT-2023-Q1-REP-0043-02,REP-0043,2023,Q1,February,43416.67,43703.31,100.66,26,1680.90,7,Central,SMB Sales
TGT-2023-Q1-REP-0044-02,REP-0044,2023,Q1,February,90750.00,0.00,0.00,0,0.00,0,Central,Enterprise Sales
TGT-2023-Q1-REP-0045-02,REP-0045,2023,Q1,February,109583.33,102214.14,93.28,17,6012.60,8,East,Partner Sales
TGT-2023-Q1-REP-0046-02,REP-0046,2023,Q1,February,90250.00,100003.82,110.81,16,6250.24,6,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0048-02,REP-0048,2023,Q1,February,43416.67,25931.20,59.73,39,664.90,16,East,Inside Sales
TGT-2023-Q1-REP-0049-02,REP-0049,2023,Q1,February,72833.33,94188.23,129.32,16,5886.76,9,West,Mid-Market
TGT-2023-Q1-REP-0051-02,REP-0051,2023,Q1,February,108916.67,99755.54,91.59,18,5541.97,6,Central,Partner Sales
TGT-2023-Q1-REP-0052-02,REP-0052,2023,Q1,February,102000.00,110435.81,108.27,19,5812.41,7,West,Enterprise Sales
TGT-2023-Q1-REP-0053-02,REP-0053,2023,Q1,February,73916.67,94486.04,127.83,29,3258.14,16,EMEA,Mid-Market
TGT-2023-Q1-REP-0054-02,REP-0054,2023,Q1,February,88250.00,70911.27,80.35,19,3732.17,5,West,Enterprise Sales
TGT-2023-Q1-REP-0055-02,REP-0055,2023,Q1,February,112750.00,111316.44,98.73,25,4452.66,7,Central,Partner Sales
TGT-2023-Q1-REP-0056-02,REP-0056,2023,Q1,February,120333.33,47560.84,39.52,12,3963.40,6,APAC,Partner Sales
TGT-2023-Q1-REP-0057-02,REP-0057,2023,Q1,February,104833.33,69487.67,66.28,11,6317.06,5,East,Enterprise Sales
TGT-2023-Q1-REP-0058-02,REP-0058,2023,Q1,February,50166.67,67279.73,134.11,26,2587.68,8,LATAM,SMB Sales
TGT-2023-Q1-REP-0060-02,REP-0060,2023,Q1,February,44000.00,39924.12,90.74,32,1247.63,18,EMEA,Inside Sales
TGT-2023-Q1-REP-0061-02,REP-0061,2023,Q1,February,51500.00,42633.38,82.78,33,1291.92,19,LATAM,SMB Sales
TGT-2023-Q1-REP-0062-02,REP-0062,2023,Q1,February,50000.00,26714.56,53.43,21,1272.12,7,EMEA,SMB Sales
TGT-2023-Q1-REP-0063-02,REP-0063,2023,Q1,February,47333.33,56192.93,118.72,29,1937.69,8,LATAM,SMB Sales
TGT-2023-Q1-REP-0064-02,REP-0064,2023,Q1,February,105083.33,102667.91,97.70,12,8555.66,4,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0065-02,REP-0065,2023,Q1,February,98500.00,132585.32,134.60,17,7799.14,6,East,Enterprise Sales
TGT-2023-Q1-REP-0066-02,REP-0066,2023,Q1,February,35750.00,39878.47,111.55,32,1246.20,17,LATAM,Inside Sales
TGT-2023-Q1-REP-0067-02,REP-0067,2023,Q1,February,47416.67,41680.18,87.90,25,1667.21,8,LATAM,SMB Sales
TGT-2023-Q1-REP-0068-02,REP-0068,2023,Q1,February,78583.33,77081.71,98.09,20,3854.09,9,APAC,Mid-Market
TGT-2023-Q1-REP-0070-02,REP-0070,2023,Q1,February,44666.67,56276.94,125.99,35,1607.91,13,Central,SMB Sales
TGT-2023-Q1-REP-0071-02,REP-0071,2023,Q1,February,132500.00,156730.66,118.29,13,12056.20,6,APAC,Partner Sales
TGT-2023-Q1-REP-0073-02,REP-0073,2023,Q1,February,107333.33,104280.42,97.16,19,5488.44,8,West,Partner Sales
TGT-2023-Q1-REP-0074-02,REP-0074,2023,Q1,February,86083.33,61064.85,70.94,11,5551.35,4,East,Enterprise Sales
TGT-2023-Q1-REP-0075-02,REP-0075,2023,Q1,February,75250.00,0.00,0.00,0,0.00,0,APAC,Mid-Market
TGT-2023-Q1-REP-0077-02,REP-0077,2023,Q1,February,43500.00,43081.91,99.04,28,1538.64,14,APAC,Inside Sales
TGT-2023-Q1-REP-0078-02,REP-0078,2023,Q1,February,96916.67,97978.16,101.10,9,10886.46,4,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0079-02,REP-0079,2023,Q1,February,37750.00,31497.83,83.44,32,984.31,13,EMEA,Inside Sales
TGT-2023-Q1-REP-0080-02,REP-0080,2023,Q1,February,114666.67,106582.98,92.95,20,5329.15,11,Central,Partner Sales
TGT-2023-Q1-REP-0081-02,REP-0081,2023,Q1,February,104750.00,48943.52,46.72,11,4449.41,4,EMEA,Partner Sales
TGT-2023-Q1-REP-0084-02,REP-0084,2023,Q1,February,90916.67,0.00,0.00,0,0.00,0,East,Enterprise Sales
TGT-2023-Q1-REP-0085-02,REP-0085,2023,Q1,February,52666.67,53632.02,101.83,42,1276.95,13,West,SMB Sales
TGT-2023-Q1-REP-0086-02,REP-0086,2023,Q1,February,42083.33,38534.59,91.57,36,1070.41,17,East,SMB Sales
TGT-2023-Q1-REP-0087-02,REP-0087,2023,Q1,February,114750.00,120801.06,105.27,12,10066.75,7,Central,Partner Sales
TGT-2023-Q1-REP-0088-02,REP-0088,2023,Q1,February,44583.33,55531.79,124.56,44,1262.09,18,Central,SMB Sales
TGT-2023-Q1-REP-0089-02,REP-0089,2023,Q1,February,34000.00,42366.79,124.61,50,847.34,25,Central,Inside Sales
TGT-2023-Q1-REP-0090-02,REP-0090,2023,Q1,February,112750.00,151138.19,134.05,14,10795.58,4,East,Partner Sales
TGT-2023-Q1-REP-0091-02,REP-0091,2023,Q1,February,41666.67,48046.33,115.31,37,1298.55,21,APAC,SMB Sales
TGT-2023-Q1-REP-0092-02,REP-0092,2023,Q1,February,88000.00,64510.87,73.31,16,4031.93,7,APAC,Enterprise Sales
TGT-2023-Q1-REP-0093-02,REP-0093,2023,Q1,February,98833.33,74590.89,75.47,16,4661.93,5,Central,Enterprise Sales
TGT-2023-Q1-REP-0094-02,REP-0094,2023,Q1,February,129666.67,96796.94,74.65,12,8066.41,7,LATAM,Partner Sales
TGT-2023-Q1-REP-0095-02,REP-0095,2023,Q1,February,66916.67,47947.79,71.65,26,1844.15,12,EMEA,Mid-Market
TGT-2023-Q1-REP-0096-02,REP-0096,2023,Q1,February,73583.33,66719.15,90.67,20,3335.96,10,East,Mid-Market
TGT-2023-Q1-REP-0098-02,REP-0098,2023,Q1,February,105750.00,99602.83,94.19,21,4742.99,7,Central,Partner Sales
