customer_id,customer_name,industry,company_size,country,state_province,city,customer_since,customer_status,account_manager,annual_revenue_bucket,credit_limit,payment_terms,tax_id
CUST-00148,Apex Partners SARL,Financial Services,Mid-Market,USA,Texas,Dallas,2023-12-07,Active,REP-0045,$5M-$10M,45000.00,Net 15,27-6845650
CUST-00149,Digital Innovations SARL,Education,Mid-Market,USA,New York,New York,2020-06-15,Active,REP-0267,$50M-$100M,40000.00,Net 15,94-4056796
CUST-00150,Metro Corporation LLC,Manufacturing,Enterprise,Germany,Hamburg,Hamburg,2018-03-03,Active,REP-0289,$100M+,80000.00,Net 30,DE726672318
CUST-00151,Quantum Solutions Pte Ltd,Education,Mid-Market,United Kingdom,England,London,2022-11-04,Active,REP-0267,$100M+,40000.00,Prepaid,GB322783518
CUST-00152,Advanced Corporation Ltd,Retail,Mid-Market,United Kingdom,Scotland,Edinburgh,2018-10-23,Active,REP-0112,$10M-$50M,45000.00,Net 60,GB222987650
CUST-00153,Premier Industries Corp,Government,Mid-Market,Spain,Catalonia,Barcelona,2023-12-13,Active,REP-0089,$50M-$100M,40000.00,Net 15,SP-581901-123
CUST-00154,Apex Group Inc,Healthcare,SMB,France,Ile-de-France,Paris,2023-04-10,Active,REP-0089,$100M+,30000.00,Net 45,FR-188512-XYZ
CUST-00155,Tech Partners Pte Ltd,Retail,Mid-Market,Australia,Victoria,Melbourne,2024-01-30,Inactive,REP-0156,$100M+,50000.00,Net 60,AU-218469-123
CUST-00156,Central Group LLC,Technology,SMB,Australia,Victoria,Melbourne,2023-02-28,Active,REP-0267,$1M-$5M,20000.00,Prepaid,AU-915963-XYZ
CUST-00157,Innovative Industries AG,Professional Services,Mid-Market,Italy,Lombardy,Milan,2024-04-10,Active,REP-0203,$10M-$50M,50000.00,Net 45,IT-435468-123
CUST-00158,Premier Services AG,Professional Services,Enterprise,Singapore,,Singapore,2018-10-14,Active,REP-0078,$100M+,200000.00,Net 45,SG-2022-187
CUST-00159,Elite Services SARL,Government,Mid-Market,Canada,Quebec,Montreal,2021-10-02,Active,REP-0289,$50M-$100M,50000.00,Net 30,CA-256560-ABC
CUST-00160,Smart Industries Ltd,Healthcare,Enterprise,Canada,British Columbia,Vancouver,2021-03-19,Active,REP-0089,$1M-$5M,80000.00,Net 45,CA-111477-XYZ
CUST-00161,Digital Corporation Corp,Healthcare,Mid-Market,Canada,Quebec,Montreal,2020-04-06,Active,REP-0156,$1M-$5M,60000.00,Net 60,CA-942965-123
CUST-00162,Apex Solutions Corp,Retail,Mid-Market,Germany,Hamburg,Hamburg,2019-12-02,Active,REP-0089,$50M-$100M,60000.00,Prepaid,DE891881298
CUST-00163,Digital Group Corp,Education,SMB,United Kingdom,England,London,2022-09-06,Active,REP-0289,$5M-$10M,25000.00,Net 45,GB301370311
CUST-00164,Elite Industries GmbH,Professional Services,SMB,Germany,Berlin,Berlin,2020-11-30,Active,REP-0134,$1M-$5M,20000.00,Net 60,DE789300887
CUST-00165,Smart Industries AG,Technology,Enterprise,Singapore,,Singapore,2022-09-22,Active,REP-0245,$10M-$50M,200000.00,Net 60,SG-2024-610
CUST-00166,Smart Corporation Ltd,Financial Services,SMB,United Kingdom,England,Manchester,2020-05-27,Active,REP-0245,$50M-$100M,25000.00,Net 45,GB162002014
CUST-00167,Central Innovations SARL,Professional Services,Enterprise,Singapore,,Singapore,2020-11-11,Active,REP-0045,$100M+,200000.00,Net 30,SG-2023-715
CUST-00168,Smart Services LLC,Manufacturing,SMB,Spain,Catalonia,Barcelona,2023-07-29,Active,REP-0245,$50M-$100M,15000.00,Net 30,SP-311850-ABC
CUST-00169,Quantum Enterprises GmbH,Financial Services,Enterprise,Australia,New South Wales,Sydney,2022-07-29,Active,REP-0134,$10M-$50M,100000.00,Net 15,AU-552800-ABC
CUST-00170,Apex Partners Inc,Healthcare,SMB,Germany,Bavaria,Munich,2023-06-18,Active,REP-0089,$5M-$10M,20000.00,Net 45,DE551089200
CUST-00171,Pro Industries Inc,Education,Mid-Market,USA,New York,Buffalo,2023-09-24,Active,REP-0045,$10M-$50M,40000.00,Prepaid,71-5189287
CUST-00172,Global Innovations SRL,Education,Enterprise,Netherlands,North Holland,Amsterdam,2018-12-04,Active,REP-0289,$5M-$10M,200000.00,Prepaid,NE-593988-ABC
CUST-00173,Elite Group Corp,Technology,Enterprise,Singapore,,Singapore,2022-10-22,Active,REP-0245,$100M+,200000.00,Prepaid,SG-2023-343
CUST-00174,Summit Group SRL,Technology,SMB,USA,Washington,Seattle,2022-07-12,Active,REP-0089,$1M-$5M,25000.00,Prepaid,82-1208054
CUST-00175,Premier Partners Pte Ltd,Retail,Enterprise,Singapore,,Singapore,2023-07-05,Active,REP-0245,$10M-$50M,200000.00,Net 60,SG-2021-451
CUST-00176,Elite Innovations SRL,Financial Services,SMB,Netherlands,North Holland,Amsterdam,2018-04-01,Active,REP-0267,$1M-$5M,30000.00,Net 60,NE-643648-ABC
CUST-00177,Global Technologies Inc,Healthcare,Mid-Market,Italy,Lombardy,Milan,2019-07-06,Active,REP-0289,$50M-$100M,45000.00,Net 30,IT-931560-ABC
CUST-00178,Smart Partners LLC,Financial Services,Enterprise,USA,Texas,Austin,2023-08-13,Active,REP-0045,$10M-$50M,150000.00,Prepaid,43-3226697
CUST-00179,Quantum Group LLC,Healthcare,Mid-Market,Italy,Lombardy,Milan,2018-09-16,Active,REP-0156,$100M+,40000.00,Net 60,IT-907816-ABC
CUST-00180,Pro Systems SRL,Retail,SMB,Netherlands,North Holland,Amsterdam,2019-04-23,Active,REP-0267,$10M-$50M,25000.00,Net 15,NE-653150-ABC
CUST-00181,Elite Technologies GmbH,Manufacturing,SMB,Netherlands,North Holland,Amsterdam,2021-05-02,Active,REP-0203,$50M-$100M,20000.00,Net 45,NE-368406-XYZ
CUST-00182,Elite Services SRL,Education,Enterprise,Italy,Lombardy,Milan,2018-04-29,Active,REP-0203,$1M-$5M,100000.00,Net 60,IT-875984-ABC
CUST-00183,Central Group SRL,Retail,SMB,United Kingdom,England,London,2019-08-18,Active,REP-0078,$100M+,25000.00,Net 45,GB140141848
CUST-00184,Pro Industries SARL,Government,Enterprise,United Kingdom,England,Manchester,2018-05-10,Active,REP-0045,$5M-$10M,100000.00,Net 45,GB392897606
CUST-00185,Tech Group SRL,Professional Services,SMB,Germany,Hamburg,Hamburg,2024-05-11,Active,REP-0267,$100M+,15000.00,Prepaid,DE634217671
CUST-00186,Summit Enterprises Ltd,Technology,Enterprise,Germany,Berlin,Berlin,2022-06-25,Active,REP-0078,$50M-$100M,150000.00,Net 60,DE196544366
CUST-00187,Nexus Enterprises Corp,Healthcare,SMB,Australia,New South Wales,Sydney,2022-08-23,Active,REP-0045,$100M+,30000.00,Net 30,AU-939531-XYZ
CUST-00188,Central Group GmbH,Education,Enterprise,Netherlands,North Holland,Amsterdam,2019-11-14,Active,REP-0245,$1M-$5M,100000.00,Net 30,NE-527518-ABC
CUST-00189,Smart Corporation GmbH,Manufacturing,Mid-Market,United Kingdom,England,London,2020-06-20,Active,REP-0245,$50M-$100M,50000.00,Prepaid,GB482286568
CUST-00190,Quantum Industries Inc,Retail,Enterprise,Singapore,,Singapore,2023-04-22,Active,REP-0089,$5M-$10M,80000.00,Net 60,SG-2023-093
CUST-00191,Metro Partners GmbH,Financial Services,SMB,France,Ile-de-France,Paris,2023-03-22,Active,REP-0245,$5M-$10M,20000.00,Net 15,FR-521796-ABC
CUST-00192,Smart Solutions GmbH,Retail,Enterprise,France,Auvergne-Rhône-Alpes,Lyon,2021-03-17,Active,REP-0245,$100M+,80000.00,Net 45,FR-230978-123
CUST-00193,Smart Partners Pte Ltd,Retail,Enterprise,Italy,Lazio,Rome,2020-09-04,Active,REP-0267,$100M+,200000.00,Net 60,IT-575284-ABC
CUST-00194,Tech Systems SARL,Healthcare,Mid-Market,France,Ile-de-France,Paris,2022-12-01,Active,REP-0078,$10M-$50M,40000.00,Prepaid,FR-266559-XYZ
CUST-00195,Tech Innovations LLC,Government,Enterprise,USA,Texas,Dallas,2022-07-08,Inactive,REP-0289,$5M-$10M,150000.00,Net 30,25-2803200
CUST-00196,Apex Systems Corp,Government,Mid-Market,United Kingdom,Scotland,Edinburgh,2023-05-19,Inactive,REP-0112,$100M+,50000.00,Net 45,GB217042745
CUST-00197,Apex Enterprises SRL,Healthcare,Mid-Market,USA,New York,New York,2021-01-31,Active,REP-0156,$50M-$100M,40000.00,Net 45,86-8056546
CUST-00198,Metro Innovations SARL,Manufacturing,Mid-Market,Italy,Lombardy,Milan,2022-08-20,Active,REP-0245,$5M-$10M,45000.00,Net 60,IT-842020-123
CUST-00199,Nexus Systems SRL,Retail,Mid-Market,United Kingdom,England,Manchester,2019-07-24,Active,REP-0289,$50M-$100M,45000.00,Prepaid,GB875527661
CUST-00200,Premier Partners SRL,Government,SMB,Spain,Madrid,Madrid,2020-06-08,Active,REP-0203,$100M+,15000.00,Net 45,SP-513789-123
CUST-00201,Tech Group GmbH,Retail,Mid-Market,Netherlands,North Holland,Amsterdam,2023-08-02,Active,REP-0134,$100M+,50000.00,Net 30,NE-721755-123
CUST-00202,Summit Partners GmbH,Healthcare,SMB,Canada,Ontario,Toronto,2022-01-01,Active,REP-0112,$5M-$10M,25000.00,Net 60,CA-424717-XYZ
CUST-00203,Smart Partners LLC,Professional Services,Mid-Market,Netherlands,North Holland,Amsterdam,2021-11-15,Active,REP-0289,$1M-$5M,60000.00,Net 45,NE-555892-123
CUST-00204,Pro Enterprises Corp,Education,Mid-Market,Spain,Catalonia,Barcelona,2021-06-29,Active,REP-0203,$100M+,45000.00,Prepaid,SP-891987-123
CUST-00205,Digital Group Pte Ltd,Financial Services,Enterprise,Netherlands,North Holland,Amsterdam,2020-03-21,Active,REP-0245,$10M-$50M,150000.00,Prepaid,NE-519755-XYZ
CUST-00206,Digital Services Corp,Technology,SMB,Canada,British Columbia,Vancouver,2023-09-27,Active,REP-0203,$1M-$5M,15000.00,Net 15,CA-627472-ABC
CUST-00207,Advanced Innovations Pte Ltd,Retail,SMB,Spain,Madrid,Madrid,2020-11-21,Active,REP-0203,$10M-$50M,15000.00,Net 15,SP-628936-XYZ
CUST-00208,Global Industries GmbH,Healthcare,SMB,Canada,Quebec,Montreal,2019-07-16,Active,REP-0045,$10M-$50M,15000.00,Net 45,CA-259411-XYZ
CUST-00209,Innovative Corporation AG,Retail,SMB,Italy,Lazio,Rome,2020-06-14,Active,REP-0112,$100M+,30000.00,Prepaid,IT-787789-ABC
CUST-00210,Elite Solutions Ltd,Manufacturing,Mid-Market,France,Ile-de-France,Paris,2019-07-21,Active,REP-0245,$1M-$5M,40000.00,Prepaid,FR-550081-123
CUST-00211,Quantum Group Ltd,Financial Services,Enterprise,Australia,New South Wales,Sydney,2024-02-01,Active,REP-0078,$100M+,150000.00,Net 60,AU-631356-XYZ
CUST-00212,Pro Industries LLC,Manufacturing,Mid-Market,USA,Texas,Houston,2018-12-29,Active,REP-0245,$1M-$5M,60000.00,Net 45,35-5155319
CUST-00213,Quantum Partners Corp,Retail,SMB,France,Ile-de-France,Paris,2020-11-07,Active,REP-0156,$50M-$100M,25000.00,Net 45,FR-313495-XYZ
CUST-00214,Apex Technologies LLC,Retail,Mid-Market,Australia,New South Wales,Sydney,2023-08-25,Churned,REP-0134,$1M-$5M,45000.00,Net 30,AU-638904-123
CUST-00215,Tech Partners LLC,Technology,Mid-Market,Canada,British Columbia,Vancouver,2018-09-24,Active,REP-0267,$1M-$5M,50000.00,Net 45,CA-509029-ABC
CUST-00216,Elite Enterprises Pte Ltd,Professional Services,SMB,Netherlands,North Holland,Amsterdam,2022-05-03,Active,REP-0289,$50M-$100M,20000.00,Prepaid,NE-213579-123
CUST-00217,Central Innovations SRL,Professional Services,Mid-Market,USA,California,San Diego,2020-01-13,Active,REP-0112,$5M-$10M,60000.00,Net 15,27-4785733
CUST-00218,Digital Innovations Inc,Manufacturing,Enterprise,Italy,Lombardy,Milan,2022-04-07,Active,REP-0267,$5M-$10M,150000.00,Net 45,IT-422927-123
CUST-00219,Metro Technologies Pte Ltd,Technology,SMB,Netherlands,North Holland,Amsterdam,2022-08-31,Active,REP-0134,$10M-$50M,30000.00,Net 30,NE-501406-XYZ
CUST-00220,Smart Enterprises Inc,Manufacturing,SMB,Italy,Lazio,Rome,2022-03-26,Active,REP-0112,$10M-$50M,25000.00,Net 45,IT-690950-123
CUST-00221,Digital Services Ltd,Professional Services,Enterprise,Italy,Lazio,Rome,2020-10-29,Active,REP-0089,$5M-$10M,150000.00,Net 30,IT-307918-ABC
CUST-00222,Innovative Solutions Inc,Healthcare,SMB,Italy,Lazio,Rome,2021-04-15,Active,REP-0245,$10M-$50M,15000.00,Net 45,IT-497711-123
CUST-00223,Nexus Corporation SARL,Retail,Mid-Market,USA,California,San Francisco,2020-06-29,Active,REP-0289,$5M-$10M,50000.00,Prepaid,43-6855181
CUST-00224,Advanced Industries Ltd,Manufacturing,Enterprise,Netherlands,North Holland,Amsterdam,2018-10-22,Inactive,REP-0112,$10M-$50M,150000.00,Net 60,NE-867621-123
CUST-00225,Premier Services AG,Professional Services,Mid-Market,USA,Massachusetts,Boston,2019-07-08,Active,REP-0078,$5M-$10M,45000.00,Net 30,82-7175073
CUST-00226,Digital Services AG,Education,Enterprise,United Kingdom,England,London,2023-10-02,Active,REP-0134,$10M-$50M,200000.00,Net 15,GB212127209
CUST-00227,Digital Enterprises SARL,Government,Mid-Market,Singapore,,Singapore,2022-02-22,Churned,REP-0089,$1M-$5M,50000.00,Net 45,SG-2024-448
CUST-00228,Pro Solutions Inc,Retail,Enterprise,Netherlands,North Holland,Amsterdam,2018-01-01,Active,REP-0078,$10M-$50M,150000.00,Net 15,NE-321716-ABC
CUST-00229,Tech Group SRL,Technology,Enterprise,France,Ile-de-France,Paris,2023-09-13,Active,REP-0289,$10M-$50M,100000.00,Net 60,FR-162932-ABC
CUST-00230,Quantum Enterprises Pte Ltd,Government,Mid-Market,Netherlands,North Holland,Amsterdam,2022-08-24,Active,REP-0156,$1M-$5M,40000.00,Prepaid,NE-277030-123
CUST-00231,Innovative Industries Inc,Financial Services,Enterprise,USA,Texas,Austin,2022-01-15,Active,REP-0089,$1M-$5M,200000.00,Net 45,69-6386827
CUST-00232,Global Solutions Inc,Professional Services,Mid-Market,Singapore,,Singapore,2024-04-08,Active,REP-0089,$100M+,40000.00,Net 60,SG-2021-524
CUST-00233,Innovative Corporation Pte Ltd,Technology,Enterprise,Italy,Lazio,Rome,2019-08-04,Active,REP-0203,$50M-$100M,150000.00,Net 15,IT-223396-123
CUST-00234,Global Technologies Corp,Professional Services,Enterprise,Germany,Bavaria,Munich,2020-12-19,Active,REP-0045,$50M-$100M,200000.00,Net 45,DE632144552
CUST-00235,Nexus Enterprises Pte Ltd,Professional Services,Mid-Market,Netherlands,North Holland,Amsterdam,2023-12-13,Active,REP-0289,$1M-$5M,60000.00,Net 30,NE-375296-XYZ
CUST-00236,Innovative Systems AG,Technology,Mid-Market,Canada,Ontario,Toronto,2022-11-18,Active,REP-0045,$5M-$10M,45000.00,Net 60,CA-592814-123
CUST-00237,Apex Enterprises Ltd,Education,Enterprise,Australia,New South Wales,Sydney,2018-12-17,Active,REP-0203,$100M+,150000.00,Prepaid,AU-818407-XYZ
CUST-00238,Advanced Technologies Corp,Retail,Mid-Market,USA,Colorado,Denver,2020-05-25,Active,REP-0245,$50M-$100M,60000.00,Prepaid,31-9145495
CUST-00239,Global Services SRL,Healthcare,Enterprise,Singapore,,Singapore,2020-02-25,Active,REP-0203,$10M-$50M,200000.00,Prepaid,SG-2021-322
CUST-00240,Central Industries LLC,Government,Enterprise,France,Auvergne-Rhône-Alpes,Lyon,2018-08-12,Active,REP-0134,$100M+,100000.00,Net 30,FR-116894-ABC
CUST-00241,Premier Group SRL,Manufacturing,SMB,United Kingdom,England,London,2019-07-30,Active,REP-0289,$5M-$10M,20000.00,Net 30,GB853149083
CUST-00242,Central Innovations GmbH,Professional Services,Enterprise,France,Ile-de-France,Paris,2018-08-27,Active,REP-0045,$100M+,200000.00,Net 45,FR-122931-123
CUST-00243,Advanced Solutions Corp,Retail,SMB,Spain,Catalonia,Barcelona,2019-06-11,Active,REP-0045,$100M+,30000.00,Net 45,SP-312410-XYZ
CUST-00244,Metro Corporation Ltd,Education,Mid-Market,United Kingdom,England,London,2021-04-27,Active,REP-0245,$100M+,45000.00,Net 60,GB737449093
CUST-00245,Apex Systems Inc,Retail,Mid-Market,United Kingdom,England,Manchester,2018-08-17,Active,REP-0134,$10M-$50M,60000.00,Prepaid,GB551105575
CUST-00246,Central Enterprises SRL,Financial Services,SMB,Singapore,,Singapore,2022-08-02,Active,REP-0045,$50M-$100M,20000.00,Net 60,SG-2022-043
CUST-00247,Apex Services GmbH,Education,Enterprise,Canada,British Columbia,Vancouver,2023-07-27,Active,REP-0156,$100M+,150000.00,Net 60,CA-479933-123
CUST-00248,Nexus Group Corp,Retail,Mid-Market,Singapore,,Singapore,2018-05-02,Active,REP-0267,$10M-$50M,40000.00,Net 15,SG-2024-906
CUST-00249,Metro Solutions SARL,Healthcare,Mid-Market,Netherlands,North Holland,Amsterdam,2021-05-29,Active,REP-0134,$5M-$10M,40000.00,Net 15,NE-872464-ABC
CUST-00250,Smart Industries LLC,Manufacturing,Enterprise,Italy,Lombardy,Milan,2021-08-01,Active,REP-0112,$50M-$100M,200000.00,Prepaid,IT-700128-ABC
CUST-00251,Tech Technologies Corp,Government,Mid-Market,Singapore,,Singapore,2022-11-20,Active,REP-0078,$50M-$100M,60000.00,Net 60,SG-2022-021
CUST-00252,Advanced Corporation Corp,Financial Services,Mid-Market,Spain,Catalonia,Barcelona,2019-08-13,Active,REP-0112,$1M-$5M,60000.00,Prepaid,SP-299308-XYZ
CUST-00253,Summit Enterprises AG,Professional Services,Enterprise,Australia,Victoria,Melbourne,2020-05-10,Active,REP-0045,$10M-$50M,200000.00,Net 15,AU-677768-123
CUST-00254,Premier Partners Ltd,Technology,Mid-Market,Singapore,,Singapore,2020-07-25,Active,REP-0045,$100M+,45000.00,Net 15,SG-2023-757
CUST-00255,Elite Services Ltd,Technology,Mid-Market,France,Ile-de-France,Paris,2021-12-29,Active,REP-0078,$100M+,60000.00,Net 15,FR-991610-123
CUST-00256,Premier Corporation LLC,Professional Services,Mid-Market,USA,Washington,Seattle,2018-11-21,Active,REP-0267,$1M-$5M,60000.00,Net 45,29-9642725
CUST-00257,Premier Industries AG,Government,Enterprise,Italy,Lazio,Rome,2020-10-09,Active,REP-0289,$10M-$50M,80000.00,Net 60,IT-983528-123
CUST-00258,Quantum Enterprises Pte Ltd,Retail,Mid-Market,Germany,Hamburg,Hamburg,2021-07-07,Active,REP-0203,$1M-$5M,60000.00,Net 60,DE384248464
CUST-00259,Advanced Enterprises Ltd,Education,Mid-Market,United Kingdom,England,Manchester,2022-02-23,Active,REP-0078,$10M-$50M,60000.00,Net 30,GB424031471
CUST-00260,Summit Services Pte Ltd,Education,Mid-Market,USA,California,San Francisco,2019-12-23,Active,REP-0134,$1M-$5M,40000.00,Net 30,68-5552573
CUST-00261,Smart Corporation AG,Government,Enterprise,Germany,Hamburg,Hamburg,2020-12-18,Active,REP-0203,$50M-$100M,100000.00,Net 60,DE483651014
